	gage_number	variable	qualifier	value	dateTime
226	08068720	Discharge, cubic feet per second	e	0.30	2015-09-05T00:00:00.000
227	08068720	Discharge, cubic feet per second	e	0.30	2015-09-06T00:00:00.000
228	08068720	Discharge, cubic feet per second	e	0.06	2015-09-07T00:00:00.000
229	08068720	Discharge, cubic feet per second	e	0.05	2015-09-08T00:00:00.000
230	08068720	Discharge, cubic feet per second	e	0.05	2015-09-09T00:00:00.000
231	08068720	Discharge, cubic feet per second	e	0.07	2015-09-10T00:00:00.000
232	08068720	Discharge, cubic feet per second	e	266	2015-09-11T00:00:00.000
233	08068720	Discharge, cubic feet per second	e	205	2015-09-12T00:00:00.000
234	08068720	Discharge, cubic feet per second	e	67.9	2015-09-13T00:00:00.000
235	08068720	Discharge, cubic feet per second	e	20.9	2015-09-14T00:00:00.000
236	08068720	Discharge, cubic feet per second	e	12.9	2015-09-15T00:00:00.000
237	08068720	Discharge, cubic feet per second	e	12.2	2015-09-16T00:00:00.000
238	08068720	Discharge, cubic feet per second	e	10.2	2015-09-17T00:00:00.000
239	08068720	Discharge, cubic feet per second	e	7.11	2015-09-18T00:00:00.000
240	08068720	Discharge, cubic feet per second	e	4.75	2015-09-19T00:00:00.000
241	08068720	Discharge, cubic feet per second	e	1.40	2015-09-20T00:00:00.000
242	08068720	Discharge, cubic feet per second	e	0.60	2015-09-24T00:00:00.000
243	08068720	Discharge, cubic feet per second	e	1.14	2015-10-06T00:00:00.000
244	08068720	Discharge, cubic feet per second	e	4.48	2015-10-07T00:00:00.000
245	08068720	Discharge, cubic feet per second	e	5.80	2015-10-08T00:00:00.000
246	08068720	Discharge, cubic feet per second	e	3.49	2015-10-09T00:00:00.000
247	08068720	Discharge, cubic feet per second	e	1.20	2015-10-10T00:00:00.000
248	08068720	Discharge, cubic feet per second	e	0.60	2015-10-11T00:00:00.000
249	08068720	Discharge, cubic feet per second	e	279	2015-10-25T00:00:00.000
250	08068720	Discharge, cubic feet per second	e	281	2015-10-26T00:00:00.000
251	08068720	Discharge, cubic feet per second	e	252	2015-10-27T00:00:00.000
252	08068720	Discharge, cubic feet per second	e	72.4	2015-10-28T00:00:00.000
253	08068720	Discharge, cubic feet per second	e	32.0	2015-10-29T00:00:00.000
254	08068720	Discharge, cubic feet per second	e	15.9	2015-10-30T00:00:00.000
255	08068720	Discharge, cubic feet per second	e	178	2015-10-31T00:00:00.000
256	08068720	Discharge, cubic feet per second	e	249	2015-11-01T00:00:00.000
257	08068720	Discharge, cubic feet per second	e	222	2015-11-02T00:00:00.000
258	08068720	Discharge, cubic feet per second	e	63.0	2015-11-03T00:00:00.000
259	08068720	Discharge, cubic feet per second	e	31.3	2015-11-04T00:00:00.000
260	08068720	Discharge, cubic feet per second	e	18.2	2015-11-05T00:00:00.000
261	08068720	Discharge, cubic feet per second	e	11.3	2015-11-06T00:00:00.000
262	08068720	Discharge, cubic feet per second	e	9.53	2015-11-07T00:00:00.000
263	08068720	Discharge, cubic feet per second	e	8.93	2015-11-08T00:00:00.000
264	08068720	Discharge, cubic feet per second	e	9.13	2015-11-09T00:00:00.000
265	08068720	Discharge, cubic feet per second	e	8.17	2015-11-10T00:00:00.000
266	08068720	Discharge, cubic feet per second	e	5.97	2015-11-11T00:00:00.000
267	08068720	Discharge, cubic feet per second	e	5.19	2015-11-12T00:00:00.000
268	08068720	Discharge, cubic feet per second	e	8.55	2015-11-13T00:00:00.000
269	08068720	Discharge, cubic feet per second	e	7.28	2015-11-14T00:00:00.000
270	08068720	Discharge, cubic feet per second	e	4.89	2015-11-15T00:00:00.000
271	08068720	Discharge, cubic feet per second	e	3.49	2015-11-16T00:00:00.000
272	08068720	Discharge, cubic feet per second	e	57.8	2015-11-17T00:00:00.000
273	08068720	Discharge, cubic feet per second	e	245	2015-11-18T00:00:00.000
274	08068720	Discharge, cubic feet per second	e	279	2015-11-19T00:00:00.000
275	08068720	Discharge, cubic feet per second	e	173	2015-11-20T00:00:00.000
276	08068720	Discharge, cubic feet per second	e	39.6	2015-11-21T00:00:00.000
277	08068720	Discharge, cubic feet per second	e	58.9	2015-11-22T00:00:00.000
278	08068720	Discharge, cubic feet per second	e	38.3	2015-11-23T00:00:00.000
279	08068720	Discharge, cubic feet per second	e	16.7	2015-11-24T00:00:00.000
280	08068720	Discharge, cubic feet per second	e	10.8	2015-11-25T00:00:00.000
281	08068720	Discharge, cubic feet per second	e	7.99	2015-11-26T00:00:00.000
282	08068720	Discharge, cubic feet per second	e	6.13	2015-11-27T00:00:00.000
283	08068720	Discharge, cubic feet per second	e	9.74	2015-11-28T00:00:00.000
284	08068720	Discharge, cubic feet per second	e	28.0	2015-11-29T00:00:00.000
285	08068720	Discharge, cubic feet per second	e	27.6	2015-11-30T00:00:00.000
286	08068720	Discharge, cubic feet per second	e	20.2	2015-12-01T00:00:00.000
287	08068720	Discharge, cubic feet per second	e	15.9	2015-12-02T00:00:00.000
288	08068720	Discharge, cubic feet per second	e	16.1	2015-12-03T00:00:00.000
289	08068720	Discharge, cubic feet per second	e	16.1	2015-12-04T00:00:00.000
290	08068720	Discharge, cubic feet per second	e	10.6	2015-12-05T00:00:00.000
291	08068720	Discharge, cubic feet per second	e	6.30	2015-12-06T00:00:00.000
292	08068720	Discharge, cubic feet per second	e	4.61	2015-12-07T00:00:00.000
293	08068720	Discharge, cubic feet per second	e	3.60	2015-12-08T00:00:00.000
294	08068720	Discharge, cubic feet per second	e	3.96	2015-12-09T00:00:00.000
295	08068720	Discharge, cubic feet per second	e	3.96	2015-12-10T00:00:00.000
296	08068720	Discharge, cubic feet per second	e	3.49	2015-12-11T00:00:00.000
297	08068720	Discharge, cubic feet per second	e	23.0	2015-12-12T00:00:00.000
298	08068720	Discharge, cubic feet per second	e	418	2015-12-13T00:00:00.000
299	08068720	Discharge, cubic feet per second	e	462	2015-12-14T00:00:00.000
300	08068720	Discharge, cubic feet per second	e	475	2015-12-15T00:00:00.000
301	08068720	Discharge, cubic feet per second	e	397	2015-12-16T00:00:00.000
302	08068720	Discharge, cubic feet per second	e	151	2015-12-17T00:00:00.000
303	08068720	Discharge, cubic feet per second	e	77.1	2015-12-18T00:00:00.000
304	08068720	Discharge, cubic feet per second	e	47.2	2015-12-19T00:00:00.000
305	08068720	Discharge, cubic feet per second	e	32.8	2015-12-20T00:00:00.000
306	08068720	Discharge, cubic feet per second	e	29.7	2015-12-21T00:00:00.000
307	08068720	Discharge, cubic feet per second	e	28.4	2015-12-22T00:00:00.000
308	08068720	Discharge, cubic feet per second	e	29.7	2015-12-23T00:00:00.000
309	08068720	Discharge, cubic feet per second	e	26.8	2015-12-24T00:00:00.000
310	08068720	Discharge, cubic feet per second	e	20.9	2015-12-25T00:00:00.000
311	08068720	Discharge, cubic feet per second	e	17.6	2015-12-26T00:00:00.000
312	08068720	Discharge, cubic feet per second	e	35.3	2015-12-27T00:00:00.000
313	08068720	Discharge, cubic feet per second	e	217	2015-12-28T00:00:00.000
314	08068720	Discharge, cubic feet per second	e	239	2015-12-29T00:00:00.000
315	08068720	Discharge, cubic feet per second	e	154	2015-12-30T00:00:00.000
316	08068720	Discharge, cubic feet per second	e	55.6	2015-12-31T00:00:00.000
317	08068720	Discharge, cubic feet per second	e	34.0	2016-01-01T00:00:00.000
318	08068720	Discharge, cubic feet per second	e	27.6	2016-01-02T00:00:00.000
319	08068720	Discharge, cubic feet per second	e	27.6	2016-01-03T00:00:00.000
320	08068720	Discharge, cubic feet per second	e	20.2	2016-01-04T00:00:00.000
321	08068720	Discharge, cubic feet per second	e	16.4	2016-01-05T00:00:00.000
322	08068720	Discharge, cubic feet per second	e	23.7	2016-01-06T00:00:00.000
323	08068720	Discharge, cubic feet per second	e	151	2016-01-07T00:00:00.000
324	08068720	Discharge, cubic feet per second	e	159	2016-01-08T00:00:00.000
325	08068720	Discharge, cubic feet per second	e	152	2016-01-09T00:00:00.000
326	08068720	Discharge, cubic feet per second	e	141	2016-01-10T00:00:00.000
327	08068720	Discharge, cubic feet per second	e	60.7	2016-01-11T00:00:00.000
328	08068720	Discharge, cubic feet per second	e	33.6	2016-01-12T00:00:00.000
329	08068720	Discharge, cubic feet per second	e	21.9	2016-01-13T00:00:00.000
330	08068720	Discharge, cubic feet per second	e	19.5	2016-01-14T00:00:00.000
331	08068720	Discharge, cubic feet per second	e	15.9	2016-01-15T00:00:00.000
332	08068720	Discharge, cubic feet per second	e	14.0	2016-01-16T00:00:00.000
333	08068720	Discharge, cubic feet per second	e	12.4	2016-01-17T00:00:00.000
334	08068720	Discharge, cubic feet per second	e	11.3	2016-01-18T00:00:00.000
335	08068720	Discharge, cubic feet per second	e	10.2	2016-01-19T00:00:00.000
336	08068720	Discharge, cubic feet per second	e	8.93	2016-01-20T00:00:00.000
337	08068720	Discharge, cubic feet per second	e	8.36	2016-01-21T00:00:00.000
338	08068720	Discharge, cubic feet per second	e	7.45	2016-01-22T00:00:00.000
339	08068720	Discharge, cubic feet per second	e	8.36	2016-01-23T00:00:00.000
340	08068720	Discharge, cubic feet per second	e	7.11	2016-01-24T00:00:00.000
341	08068720	Discharge, cubic feet per second	e	6.46	2016-01-25T00:00:00.000
342	08068720	Discharge, cubic feet per second	e	5.49	2016-01-26T00:00:00.000
343	08068720	Discharge, cubic feet per second	e	4.75	2016-01-27T00:00:00.000
344	08068720	Discharge, cubic feet per second	e	4.21	2016-01-28T00:00:00.000
345	08068720	Discharge, cubic feet per second	e	3.96	2016-01-29T00:00:00.000
346	08068720	Discharge, cubic feet per second	e	3.96	2016-01-30T00:00:00.000
347	08068720	Discharge, cubic feet per second	e	4.75	2016-01-31T00:00:00.000
348	08068720	Discharge, cubic feet per second	e	4.75	2016-02-01T00:00:00.000
349	08068720	Discharge, cubic feet per second	e	4.35	2016-02-02T00:00:00.000
350	08068720	Discharge, cubic feet per second	e	3.72	2016-02-03T00:00:00.000
351	08068720	Discharge, cubic feet per second	e	3.60	2016-02-04T00:00:00.000
